title,img,type,netflix_id,synopsis,rating,year,runtime,imdb_id,poster,top250,top250tv,title_date
The Goat and Her Three Kids,https://occ-0-2758-3467.1.nflxso.net/dnm/api/v6/WNk1mr9x_Cd_2itp6pUM7-lXMJg/AAAABcAhg7Ed9mUM0OwBbe0DMWKmi9W4HcbSYhpju4xeMRr1WODB1iVTACz8_XS7JP32HKU5UmHoy0a-5hh70yVj9eYehl1jSatX3g.jpg?r=852,movie,81677719,A determined widow must protect her three children from a bloodthirsty neighbor bent on revenge in this gruesome spin on the beloved fairy tale.,9.8,2022,4972,tt9243412,https://m.media-amazon.com/images/M/MV5BNWUxOGM3ZWUtOTUzZS00ODQwLTlkMmUtZjhkYTNhM2JkNGUxXkEyXkFqcGdeQXVyNTI0MjQyMDU@._V1_SX300.jpg,0,0,24/3/23
Luciano Mellera: Infantiloide,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZPbNynCLoKGa8apkY2aS3R81-qI5FOlRL1OqxFHKPsDJzrJIHtr6l2ZhRPVG7TmfDuL2ShqjH7tv9kApsbWAOIkskTbuAUa5SswK8ZkDBx_27E9UTZHMaUM2Mw.jpg?r=2f1,movie,80192064,Argentina‘s Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,9.6,2018,3962,tt7607400,,0,0,7/7/18
Ether,https://occ-0-3952-3467.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb-w8bi8xCn_2zl1rLbsrjw8c8_gWO7pZdzyPvqjm0PWgAs1Tj_NSMpS6BNh4eB7F7hFEqqQY9x8byP7TpDkuu-vEw.jpg?r=2c6,movie,81565048,"After a stint in prison, an unscrupulous doctor obsessed with science becomes a military medic and performs dangerous experiments for sinister reasons.",9.6,2019,7047,tt2570120,https://m.media-amazon.com/images/M/MV5BMjIwODQwMzk0M15BMl5BanBnXkFtZTcwMzcyODkwOQ@@._V1_SX300.jpg,0,0,1/3/22
Youth v Gov,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUA3DBkSa6TxiVsxUrRw76pNHDTFbgvdA8QY2J6p_uHK0NAxghaNwRtauqkVba8HNh0iyggKlFkJvETqFi-FxmkSKQ.jpg?r=5bd,movie,81586492,This documentary follows the journey of 21 young plaintiffs suing the US government for its actions in creating the climate crisis.,9.6,2020,6554,tt13192640,https://m.media-amazon.com/images/M/MV5BM2ZjMzAxZDgtOWUxZi00Y2ZlLThjMTUtOTM0MjRkM2YxMzk4XkEyXkFqcGdeQXVyMTA3NzE5NDY4._V1_SX300.jpg,0,0,29/4/22
Stars in the Sky: A Hunting Story,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYXo3vPKH6WlxCONV--TUgdwsk6KuMrWe3f2nFYIg6GggvURtsuwbDE3bNW5611lIyDMjJFqBoXOaTAZGYcQJ7yZGw.jpg?r=708,movie,81292225,"This documentary follows a group of hunters as they grapple with the complexities, controversies, and contradictions of pursuing animals in the wild.",9.5,2018,4151,tt10078502,https://m.media-amazon.com/images/M/MV5BMGFlZjhhOGMtNGY1ZS00YzViLWJjYzktNGQ2MDA4OTE2OGJmXkEyXkFqcGdeQXVyOTYwMjIzNTQ@._V1_SX300.jpg,0,0,7/8/20
In Vitro,https://occ-0-2509-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABS9ajWZ8XgmbAnCJ-VWEmomVYo9oHt2S0VmWjesxh-7cQbuQlGkfeR-0J9PjL1gIVSCqQwrGmb7rMyFO9s1sxZ3Ovw.jpg?r=93e,movie,81504295,"In an underground orchard in Bethlehem, decades after an otherworldly ecodisaster, two scientists discuss exile, loss and nostalgia.",9.5,2019,1655,tt4762688,0,0,0,14/10/21
Onboard the Transcontinental Race,https://occ-0-5098-55.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABfLrm7MOD96wSdYe5ubz6lwkZbODCdGnr--3c_0cjQD23dH2Vk-6qYqYP8jNm6zV2VAx5rpzHK3rBJz1G9GTBQ2NCJicbjRvhg.jpg?r=a66,movie,81582700,"Follow competitors as they bike grueling 18-hour days across breathtaking scenery, sacrificing comfort and sleep in the ultimate test of endurance.",9.5,2019,3293,tt11806450,https://m.media-amazon.com/images/M/MV5BMmUyNGQyMDQtOWM5Ny00ZTUwLWI5ZmUtZWEzMzI0MWFkZmM4XkEyXkFqcGdeQXVyNDA0MDk2MDI@._V1_SX300.jpg,0,0,11/9/22
Oththa Seruppu Size 7,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc5BOAwjX_M3VAx-sJCV53QhB3ZQPBUQGgnmgEzekAuHOxvCxhMbuwOsMjoFkcj5mFn6V29j00-rZAGmhvB0-mQqJQ.jpg?r=065,movie,81206389,"Taken into custody, a murder suspect‘s theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he‚Äôs accused of.",9.4,2019,6197,tt10370116,https://m.media-amazon.com/images/M/MV5BMjZmODYwNTAtYjQ5Yi00NDc0LWFmNDgtMmZkMGM4MzdhZjk5XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,0,0,3/11/19
30 years and 15 minutes,https://occ-0-3033-3467.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQwmBigNXk8Br2fOthG4JWugRVofOU6G3Mxlac0R14m9DNoOyG9sq2hmIdLCcoXG_Pp8dg_Fb04RV9mNV8rFLBUyJg.jpg?r=41f,movie,81505031,"In this documentary, a businessman explores the reasons behind the lack of highways in the current and former Romania and its impact on the community.",9.4,2020,5711,tt12865416,https://m.media-amazon.com/images/M/MV5BOTdmODU2ZDQtMDU2MC00ZDkwLTljZjgtY2M3YzZmZWRmMTFjXkEyXkFqcGdeQXVyMTI3NDkxNzM@._V1_SX300.jpg,0,0,1/11/21
MUM Misunderstandings of Miscarriage,https://occ-0-3255-2567.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABacXp7x_YwmyB3qtOHd9PUPCCYVGCInEyO48UWET7bvfgkoCFQqB1uDeaJuBx8CyJUSxW_4hLzrBDfLpcg8Oh0Jm00_q5PC2YQ.jpg?r=1a6,movie,81610963,Actor and director Tahyna MacManus embarks on a personal journey to understand the physical and psychological impacts of miscarriage.,9.4,2020,4983,tt9653814,https://m.media-amazon.com/images/M/MV5BNGI0MzgxM2EtYzRjNS00MWM4LWE1NmQtZTFmNThkNDVhZDA2XkEyXkFqcGdeQXVyNTg5OTc5OTM@._V1_SX300.jpg,0,0,7/6/22
Singleholic,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABasPp1Rj6Vzt20HOnvqs5whOa63E2vzsUiAe8B2bkKt275wZfIKDmbo84ykmQ47e_y5KYz8jJtir3AkM6_xIDWw891s8LmJD2g.jpg?r=1cd,movie,81643876,"After waking up single on the morning of her 35th birthday, a woman goes on a series of desperate dates to find a husband ‚Äî and herself.",9.3,2022,6244,tt4447048,https://m.media-amazon.com/images/M/MV5BOGZkNjczM2EtYmEwZi00Nzk2LTk3M2EtOGQxOGIxOTlkYTA2XkEyXkFqcGdeQXVyMTQwOTU1Nw@@._V1_SX300.jpg,0,0,18/11/22
David Attenborough: A Life on Our Planet,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQKwvlqeKE03oXiZELV3K23Fok6otuf7X5ZLcBbNzYwiCs3ToKGfdUmTNccBZMpwReTFUq9AmpFJ3fFIhosz7BIz9NCRRjXobxm6AUcDhuNuadUme3HbA9hTTUI.jpg?r=c32,movie,80216393,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future.",9.2,2020,5027,tt11989890,https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,0,0,4/10/20
The Mitchells vs. The Machines,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR4l887dJIP3yoEmUBq0bB171AumISkdUq9XA3sbn-xLLWl1Obn1qmXgHxGzkUXZFK3lZuyO-XmKjSTMQFGR-ao5WLefWOmYKAJ_lbe3TLO4BzdRPAqx8coW2fg.jpg?r=fda,movie,81399614,A robot apocalypse put the brakes on their cross-country road trip. Now it‚Äôs up to the Mitchells ‚Äî the world‚Äôs weirdest family ‚Äî to save the human race.,9.2,2021,6842,tt7979580,https://m.media-amazon.com/images/M/MV5BMjdkZjNjNDItYzc4MC00NTkxLTk1MWEtY2UyZjY5MjUwNDNkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_SX300.jpg,0,0,1/5/21
The Long Road to War,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVJGsRFtGyMsN8tDDfW0WkHOryp6c0YfAEmfjGNZOmCPCDXE5eiIilotuIL7Qet6Hj9CuWNYSTGi-f83UHZVeiFmCMpa4UNgJg.jpg?r=b17,movie,81467138,"This documentary examines the origins of WWI, starting from the 19th century to the assassination of Archduke Franz Ferdinand.",9.2,2018,6995,tt3713222,https://m.media-amazon.com/images/M/MV5BMmRjNGViOTUtYWI4NS00Yjk2LTkyMzItYWJlZTY3NjQ5MTBiXkEyXkFqcGdeQXVyMTA5ODk3NA@@._V1_SX300.jpg,0,0,25/6/22
Love Today,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABdKkLqW7o9K-DIGfK5vISntkDLnhqyTMgORs7a27lafRFdrErlUEoEviye91TqBntzRRrPNTqZJgxZjNga5bLn5XGlwa1HIEpg.jpg?r=1e4,movie,81642992,"Before they get married, a couple must swap phones for 24 hours at the behest of the bride-to-be‘s suspicious father.",9.1,2022,9171,tt22488728,https://m.media-amazon.com/images/M/MV5BYzFmMWNmOGQtNmE2NS00ZjdkLTlhZGEtY2ZmZjI5N2UwZjkzXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_SX300.jpg,0,0,2/12/22
Lola Igna,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR8PKMFu4yvpKU6dVSXj1SsLOxZBc6nxLgk0TI4oDK-rf5Cm3QYpXzMq8RYmSneWQVlNN5P_IUfm79Pfw3sU1Ffs7w.jpg?r=065,movie,81268493,An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.,9,2019,6821,tt10965300,https://m.media-amazon.com/images/M/MV5BYzliMjk4YTQtMjg4Yi00YjNjLTkzNjUtYjFhYTQ4ZjA2YWQ3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,0,0,18/6/20
Sakaling Maging Tayo,https://occ-0-2705-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTeZBw_5kgTCfrPBRzAuCYvfvnVEiyx1jCIHH6X_LE0rUIEUy5pold-_2semZU3tH8rD000lylKgOQuUGCPRvU23qQ.jpg?r=5c8,movie,81334869,"A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance.",9,2019,5409,tt9389622,https://m.media-amazon.com/images/M/MV5BYWIxNDcwM2YtMGQwZi00OThjLTljNDktNTNkOGMwODQ4MmY4XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,0,0,17/12/20
Horimiya,https://occ-0-3187-3188.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWNVcfnu3rTcHwMmnkSmKg3N5yXtPHz2pIKpCnJFqf7JrH3dttmnGMOM5Z8XXVymqlJ4DmsF2kuA0rokusa8bgU4QVviR3Ri9d1URo2Z1Vt9ltfnD_ZYOeovRfUumLdWI20cngRBbx4.jpg?r=2c4,movie,81020819,"An outgoing, popular girl who‚Äôs secretly a homebody bonds with her nerdy classmate who hides his tattoos and piercings while at school.",9,2021,0,tt13103134,https://m.media-amazon.com/images/M/MV5BZWNiY2IwMGUtYTk1NC00NmE5LWE4NTItYmQyNDJmMGU2MDMwXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,0,0,15/1/21
99 Songs,https://occ-0-1048-92.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQA9i-yeRWSVspHG0SWChdQQncqP1Nwl0o2GUkfsF6B_hDwfwAKSdYQQNKM-Kn1jtrSh02MCEWntpfUHOPwFCgTbsw.jpg?r=a34,movie,81450176,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",9,2021,7838,tt7559180,https://m.media-amazon.com/images/M/MV5BZTgyZWJlOGUtN2ZjNS00NzhlLWI4NmUtMTAxNTNjYzE1MGQ5XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_SX300.jpg,0,0,21/5/21
I Am Belmaya,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTDRhn0hLH9If2SXxZjaHGlrXKJnnWKGfqq13k4OhnwhBNeMshSK-NNDKsjn9qEzuY4BIvB5_tcvs1tCm0tyupkc7Q.jpg?r=e86,movie,81409056,"In this documentary, a young Dalit woman in Nepal studies filmmaking to take charge of her life and stand up to her oppressors.",9,2020,4841,tt11342978,https://m.media-amazon.com/images/M/MV5BZTYyODQ3MDAtNTZlNS00OTFkLThkMTQtNWI2YjkzYjVlM2U4XkEyXkFqcGdeQXVyNzM2NzA0MTU@._V1_SX300.jpg,0,0,1/12/21
